id,business_name,instagram_handle,instagram_url,municipality,address_or_area,category,verification_status,verification_note,source_urls_text
83,Palestra ASCAM,palestra_ascam,https://www.instagram.com/palestra_ascam/,Mascalucia,Via Siracusa n 6,palestra,verificato,"Profilo Instagram attivo, indirizzo a Mascalucia confermato.",https://www.instagram.com/palestra_ascam/ | https://www.paginegialle.it/sicilia/mascalucia/palestre.html
84,SGF Studio,sgf_rehab,https://www.instagram.com/sgf_rehab/,Mascalucia,Via IV Novembre 48,riabilitazione e benessere,verificato,"Profilo Instagram attivo, centro riabilitazione e benessere a Mascalucia.",https://www.instagram.com/sgf_rehab/
85,Olimpia Fitness Mazzarrone,olimpiafitnessmazzarrone,https://www.instagram.com/olimpiafitnessmazzarrone/,Mazzarrone,Viale del Lavoro,palestra,verificato,Profilo Instagram esistente e pagina Facebook ufficiale confermano l'attività a Mazzarrone.,https://fitprime.com/it/servizi/places/centri-sportivi/catania/olimpia_fitness | https://www.facebook.com/olimpiafitnessmazzarrone/ | https://www.instagram.com/explore/locations/1024993652/olimpia-fitness-mazzarrone/
86,Spazio Danza - Centro Sport & Salute,spaziodanzamilitello,https://www.instagram.com/spaziodanzamilitello/,Militello in Val di Catania,Via Vincenzo Bellini,palestra/danza/fitness,verificato,"Profilo Instagram ufficiale trovato e attivo, confermata la localizzazione a Militello in Val di Catania e le attività di danza e fitness.",https://www.facebook.com/spaziodanzamilitello/ | https://fitnessfast.it/spazio-danza-via-vincenzo-bellini-militello-in-val-di-catania/ | https://www.instagram.com/spaziodanzamilitello/
87,L.S. Gym,l.s._gym,https://www.instagram.com/l.s._gym/,Mineo,Via Nicolò da Mineo 5,palestra,verificato,"Profilo ufficiale confermato da post Instagram e pagina Facebook, localizzato a Mineo.",https://www.instagram.com/explore/locations/1584004345229052/ls-gym/ | https://www.facebook.com/p/LS-Gym-100063797760278/
88,Physio-Gym,physio_gym18,https://www.instagram.com/physio_gym18/,Mineo,Viale Madre Teresa di Calcutta 14,palestra,verificato,"Profilo ufficiale confermato da Instagram e Facebook, localizzato a Mineo.",https://www.instagram.com/physio_gym18/ | https://www.facebook.com/p/Physio-Gym-100063010222479/
89,ASD M&N fitness club,mnfitnessclub,https://www.instagram.com/mnfitnessclub/,Mirabella Imbaccari,Via Toniolo snc,palestra,verificato,"Profilo Instagram trovato e collegato alla palestra, confermata la localizzazione a Mirabella Imbaccari.",https://www.facebook.com/p/ASD-MN-fitness-club-100028153430161/ | https://www.instagram.com/mnfitnessclub/ | https://www.localshop24.com/it/piazza-armerina-en-it/attivita/palestra-corsi-fitness/asd-mn-fitness-clubmirabella-imbaccari/
90,City Jam Fitness Dance,cityjam_fitness,https://www.instagram.com/cityjam_fitness/,Mirabella Imbaccari,Mirabella Imbaccari,scuola di danza e fitness,verificato,"Scuola di danza e fitness con profilo Instagram ufficiale, confermata la localizzazione a Mirabella Imbaccari.",https://www.facebook.com/p/cityjam_fitness-100086933087551/ | https://www.instagram.com/cityjam_fitness/
91,Corfit Sicilia,corfitsicilia,https://www.instagram.com/corfitsicilia/,Misterbianco,"Centro Sicilia, Misterbianco",palestra,verificato,"Profilo Instagram ufficiale confermato, palestra situata a Misterbianco.",https://www.instagram.com/corfitsicilia/ | https://www.facebook.com/corfitsicilia/
92,CrossFit Misterbianco,crossfitmisterbianco,https://www.instagram.com/crossfitmisterbianco/,Misterbianco,Misterbianco,box crossfit,verificato,"Profilo Instagram ufficiale confermato, box crossfit a Misterbianco.",https://www.instagram.com/crossfitmisterbianco/ | https://www.crossfitmisterbianco.com/
93,Newperformance,newperformancemisterbianco,https://www.instagram.com/newperformancemisterbianco/,Misterbianco,Misterbianco,palestra,verificato,"Profilo Instagram ufficiale confermato, palestra/danza aerea a Misterbianco.",https://www.instagram.com/newperformancemisterbianco/
94,Perfect Misterbianco,palestraperfectmisterbianco,https://www.instagram.com/palestraperfectmisterbianco/,Misterbianco,Misterbianco,palestra,verificato,"Profilo Instagram ufficiale confermato, palestra a Misterbianco.",https://www.instagram.com/palestraperfectmisterbianco/ | https://www.facebook.com/Perfect.misterbianco/
95,Perfection Village,perfectionvillage,https://www.instagram.com/perfectionvillage/,Misterbianco,Misterbianco,palestra,verificato,"Profilo Instagram ufficiale confermato, club fitness a Misterbianco.",https://www.instagram.com/perfectionvillage/ | https://www.perfectionvillage.it/
96,Shark Fitness,shark_fitness_palestre,https://www.instagram.com/shark_fitness_palestre/,Misterbianco,Misterbianco,palestra,verificato,"Profilo Instagram ufficiale confermato, palestra a Misterbianco.",https://www.instagram.com/shark_fitness_palestre/ | http://www.sharkfitness.it/
97,The Titans Gym,the_titans_gym,https://www.instagram.com/the_titans_gym/,Misterbianco,"Via Aldo Moro 22, Misterbianco",palestra,verificato,"Profilo Instagram ufficiale confermato, palestra a Misterbianco.",https://www.instagram.com/the_titans_gym/ | https://www.thetitansgym.com/
98,Eruption_CT,eruption_ct,https://www.instagram.com/eruption_ct/,Motta Sant'Anastasia,Motta Sant'Anastasia,crossfit,verificato,Profilo Instagram di un box CrossFit confermato a Motta Sant'Anastasia.,https://www.instagram.com/eruption_ct/
99,New Emotion Fit Club / Studio MedicalFit,emotionfitness19,https://www.instagram.com/emotionfitness19/,Motta Sant'Anastasia,"Viale della Regione, 31/33",fitness club,verificato,Profilo Instagram confermato per il centro fitness a Motta Sant'Anastasia.,https://www.facebook.com/emotion.fitnessclub/ | https://www.instagram.com/emotionfitness19/ | https://www.fresha.com/lvp/new-e-motion-fitness-club-studio-medicalfit-viale-della-regione-motta-A7M3jb
100,Palestre VIP - Sport & Fit Village Motta,palestrevip,https://www.instagram.com/palestrevip/,Motta Sant'Anastasia,Via E. Toti 27,palestra,verificato,Profilo Instagram confermato per la palestra a Motta Sant'Anastasia.,https://palestrevip.it/ | https://www.facebook.com/palestrevip/ | https://www.instagram.com/palestrevip/
101,Gymtonic,gymtonic.nicolosi,https://www.instagram.com/gymtonic.nicolosi/,Nicolosi,Via Fornace 36/B,palestra,verificato,Profilo Instagram confermato come palestra a Nicolosi.,https://www.instagram.com/gymtonic.nicolosi/
102,Palestra In Forma,informa.palestra,https://www.instagram.com/informa.palestra/,Nicolosi,Via Aldo Moro 37,palestra,verificato,Profilo Instagram confermato come palestra a Nicolosi.,https://www.instagram.com/informa.palestra/ | https://www.facebook.com/PalestraInFormaNicolosi/
103,A.S.D Golden Drago,asdgoldendrago.gym,https://www.instagram.com/asdgoldendrago.gym/,Palagonia,"Via Livorno nr 19, Palagonia",palestra,verificato,"Profilo Instagram ufficiale confermato, associazione sportiva di arti marziali e fitness a Palagonia.",https://www.instagram.com/asdgoldendrago.gym/ | https://www.facebook.com/asdgoldendragopalagonia/
104,Gym Tonic,gymtonic2023,https://www.instagram.com/gymtonic2023/,Palagonia,Palagonia,palestra,verificato,"Profilo Instagram ufficiale confermato, palestra a Palagonia.",https://www.instagram.com/gymtonic2023/ | https://www.facebook.com/p/Gym-Tonic-100089354041649/
105,Powergym - Gaetano Russo,gaetano_russo_pt,https://www.instagram.com/gaetano_russo_pt/,Palagonia,"SP25i, 95046 Palagonia CT",palestra,verificato,Profilo del personal trainer associato alla palestra Powergym a Palagonia.,https://www.instagram.com/gaetano_russo_pt/ | https://www.instagram.com/explore/locations/1130910000314188/ | https://fitnessfast.it/powergym-gaetano-russo-sp25i-palagonia/
106,EnergyFitness Paternò,energyfitnesspalestra,https://www.instagram.com/energyfitnesspalestra/,Paternò,Paternò,palestra,verificato,Profilo Instagram apparentemente valido e coerente con Paternò.,https://www.instagram.com/energyfitnesspalestra/
107,Evolution Gym,gym_evolution_paterno,https://www.instagram.com/gym_evolution_paterno/,Paternò,Paternò,palestra,verificato,Profilo Instagram apparentemente valido e coerente con Paternò.,https://www.instagram.com/gym_evolution_paterno/
108,Powerfitlab,powerfitlab,https://www.instagram.com/powerfitlab/,Paternò,Paternò,palestra,verificato,Profilo Instagram apparentemente valido e coerente con Paternò.,https://www.instagram.com/powerfitlab/
109,Primalstrong Elite,primalstrong_elite,https://www.instagram.com/primalstrong_elite/,Paternò,Paternò,crossfit,verificato,Profilo Instagram apparentemente valido e coerente con Paternò.,https://www.instagram.com/primalstrong_elite/
110,Privè Wellness Fitness,prive_wellness_fitness,https://www.instagram.com/prive_wellness_fitness/,Paternò,Paternò,palestra,verificato,Profilo Instagram apparentemente valido e coerente con Paternò.,https://www.instagram.com/prive_wellness_fitness/
111,Selection Palestre,selection_palestre,https://www.instagram.com/selection_palestre/,Paternò,Paternò,palestra,verificato,Profilo Instagram apparentemente valido e coerente con Paternò.,https://www.instagram.com/selection_palestre/
112,Spartan Fitness Paternò,spartan_fitness_paterno,https://www.instagram.com/spartan_fitness_paterno/,Paternò,Paternò,palestra,verificato,Profilo Instagram apparentemente valido e coerente con Paternò.,https://www.instagram.com/spartan_fitness_paterno/
113,tbF Gym & Fitness Center,tbfgym,https://www.instagram.com/tbfgym/,Paternò,Paternò,palestra,verificato,Profilo Instagram apparentemente valido e coerente con Paternò.,https://www.instagram.com/tbfgym/
114,Urban Box,urbanboxssd,https://www.instagram.com/urbanboxssd/,Paternò,"Contrada Monafria sn, 95047 Paternò CT",palestra,verificato,Profilo Instagram apparentemente valido e coerente con Paternò.,https://www.instagram.com/urbanboxssd/
115,Palestra Body Art,body_art_palestre,https://www.instagram.com/body_art_palestre/,Pedara,"Corso Ara di Giove, 76",palestra,verificato,"Profilo ufficiale confermato, fa riferimento alla sede di Pedara.",https://www.palestrebodyart.it/ | https://www.instagram.com/body_art_palestre/
116,Body Town Club,bodytown_club,https://www.instagram.com/bodytown_club/,Piedimonte Etneo,"Via Barbarino G., 3",Palestra / CrossFit / Fitness,verificato,"Profilo Instagram attivo, indirizzo e attività fitness confermati a Piedimonte Etneo.",https://www.instagram.com/bodytown_club/ | https://www.facebook.com/bodytownclub/
117,Funny Club,asd_funnyclub,https://www.instagram.com/asd_funnyclub/,Piedimonte Etneo,"Via Serro, 22",Scuola di Danza e Fitness / Pilates,verificato,"Profilo Instagram attivo, indirizzo e attività fitness/danza confermati a Piedimonte Etneo.",https://www.instagram.com/asd_funnyclub/ | https://www.facebook.com/p/Funny-Club-100062994896244/
118,ASD Natural Gym,asd_naturalgym,https://www.instagram.com/asd_naturalgym/,Raddusa,"Via Rivoli, snc",palestra,verificato,"Profilo ufficiale attivo, confermato da documenti regionali e post su Facebook.",https://www.instagram.com/asd_naturalgym/ | https://www.facebook.com/p/ASD-Natural-Gym-61551623832703/
119,Fitness & Fun Club,fitness_fun_club,https://www.instagram.com/fitness_fun_club/,Raddusa,Raddusa,palestra,da_controllare,"Palestra menzionata in articoli locali e post social, ma non è stato trovato un profilo Instagram ufficiale chiaro.",https://www.ilsolidale.it/post.php?a=2023 | https://www.instagram.com/explore/locations/194243094450336/fitness-fun-club-levoluzione-del-movimento/nearby/
120,Etna Climbing,etnaclimbing_ragalna,https://www.instagram.com/etnaclimbing_ragalna/,Ragalna,Via Paternò sn,palestra d'arrampicata,verificato,Pagina ufficiale palestra d'arrampicata a Ragalna confermata.,https://www.etnaclimbing.com/ | https://www.instagram.com/etnaclimbing_ragalna/
121,Fitness Extreme Palestra,fitness.extreme.palestra,https://www.instagram.com/fitness.extreme.palestra/,Ragalna,Via A.Moschetto 1,palestra,verificato,Profilo ufficiale palestra a Ragalna confermato.,https://www.instagram.com/fitness.extreme.palestra/
122,Palazzetto dello Sport di Ragalna,palazzetto_dello_sport,https://www.instagram.com/palazzetto_dello_sport/,Ragalna,Via Paternò,palazzetto dello sport/palestra,verificato,"Struttura sportiva a Ragalna confermata, ospita attività fitness.",https://www.instagram.com/palazzetto_dello_sport/ | https://www.instagram.com/explore/locations/1019365736/palazzetto-dello-sport-di-ragalna/ | https://fitnessfast.it/palazzetto-dello-sport-ragalna/
123,A.S.D. Fitness Center Ramacca,fitnesscenterramacca,https://www.instagram.com/fitnesscenterramacca/,Ramacca,Ramacca,palestra,verificato,Profilo Instagram e pagina Facebook ufficiali trovati e attivi. Localizzazione a Ramacca confermata.,https://www.instagram.com/fitnesscenterramacca/ | https://www.facebook.com/alessandronicodemo77/
124,SSD BodyMind+,bodymind_randazzo,https://www.instagram.com/bodymind_randazzo/,Randazzo,Via Vittorio Veneto 43,palestra,verificato,"Profilo Instagram ufficiale trovato e attivo, localizzato a Randazzo (CT).",https://www.instagram.com/bodymind_randazzo/ | https://palestre.fitness/it/z/47920-randazzo/
125,Sporting Club Riposto,sportingclubriposto,https://www.instagram.com/sportingclubriposto/,Riposto,Via Giuseppe Spina snc,palestra,verificato,"Profilo Instagram attivo, indirizzo e attività confermati tramite fonti web (Facebook, Infobel, Cybo).",https://www.instagram.com/sportingclubriposto/ | https://www.facebook.com/sportingriposto/
126,Strength School,strength.school,https://www.instagram.com/strength.school/,Riposto,Via Piave 10,palestra,verificato,"Profilo Instagram attivo, indirizzo e attività confermati tramite fonti web (Instagram, Facebook, Fitprime).",https://www.instagram.com/strength.school/ | https://www.facebook.com/STRNGTHSCHOOL/
127,A S D Route 117,asd_route117,https://www.instagram.com/asd_route117/,San Cono,"Strada comunale Piano Luppino, San Cono",club sportivo con piscina,verificato,"Profilo Instagram ufficiale trovato, club sportivo con piscina a San Cono.",https://www.facebook.com/ASDroute117/ | https://www.instagram.com/asd_route117/
128,Asd Centro Gea Sanconese,centro_gea,https://www.instagram.com/centro_gea/,San Cono,San Cono,palestra,da_controllare,"Centro sportivo locale a San Cono, profilo Instagram da verificare ulteriormente ma probabile.",https://www.tripadvisor.com/Attraction_Review-g10838834-d33067808-Reviews-Asd_Centro_Gea_Sanconese-San_Cono_Province_of_Catania_Sicily.html | https://www.instagram.com/p/C5DsmEgsj8H/
129,Alpha Fitness,alphafitnessasd,https://www.instagram.com/alphafitnessasd/,San Giovanni la Punta,Via della Regione 348,palestra,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/alphafitnessasd/ | https://www.facebook.com/p/Alpha-Fitness-asd-100092256596725/
130,Black Soul Fitness,blacksoul_fitness,https://www.instagram.com/blacksoul_fitness/,San Giovanni la Punta,Via Ragusa 9,cross training,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/blacksoul_fitness/ | https://www.blacksoulfitness.com/
131,Fit And Go,fitandgo_ct,https://www.instagram.com/fitandgo_ct/,San Giovanni la Punta,Via delle Sciare 14,centro fitness,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/fitandgo_ct/ | https://fitandgo.it/dove-siamo/san-giovanni-la-punta/
132,FitActive Catania Le Zagare,fitactivecatanialezagare,https://www.instagram.com/fitactivecatanialezagare/,San Giovanni la Punta,"Via A. Manzoni, snc",palestra,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/fitactivecatanialezagare/ | https://www.fitactive.it/i-club/CataniaLeZagare.php
133,kreabenessere,kreabenessere,https://www.instagram.com/kreabenessere/,San Giovanni la Punta,San Giovanni la Punta,centro fitness,verificato,"Centro fitness/benessere a San Giovanni la Punta, confermato da Fit And Go.",https://www.instagram.com/kreabenessere/
134,New Fitness,newfitness1996,https://www.instagram.com/newfitness1996/,San Giovanni la Punta,Via Puglia 15,palestra,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/newfitness1996/ | https://www.newfitness.club/
135,StudioP.47,studiop.47,https://www.instagram.com/studiop.47/,San Giovanni la Punta,San Giovanni la Punta,pilates,probabile,"Profilo pilates a San Giovanni la Punta, menzionato da ASD Strumento Puntese.",https://www.instagram.com/studiop.47/
136,66 Training Lab,66traininglab,https://www.instagram.com/66traininglab/,San Gregorio di Catania,Via Scala 74,"functional training, pilates",verificato,"Profilo ufficiale confermato, studio fitness situato a San Gregorio di Catania.",https://www.66traininglab.com/ | https://www.instagram.com/66traininglab/
137,Fit House Personal Training Studio,fithouse__ct,https://www.instagram.com/fithouse__ct/,San Gregorio di Catania,Via Giorgio De Chirico 9,"personal training, functional training",verificato,"Profilo ufficiale confermato, studio di personal training situato a San Gregorio di Catania.",https://www.facebook.com/p/Fit-House-100083352672178/ | https://www.instagram.com/fithouse__ct/
138,A.S.D Step Of Dance,asdstepofdance,https://www.instagram.com/asdstepofdance/,San Michele di Ganzaria,Via nazionale 112,palestra / scuola di danza,verificato,Profilo ufficiale confermato come palestra e scuola di danza a San Michele di Ganzaria,https://www.instagram.com/asdstepofdance/ | https://www.facebook.com/100069657367302/
139,ANTARES FIT PALESTRE,_antaresfit_,https://www.instagram.com/_antaresfit_/,San Pietro Clarenza,Via Umberto 311,palestra,verificato,"Profilo Instagram ufficiale confermato tramite ricerca web, bio indica San Pietro Clarenza (CT).",https://www.instagram.com/_antaresfit_/ | https://fitnessfast.it/antares-fit-via-umberto-san-pietro-clarenza/
140,Atlas Fitness Club,atlasfitnessclub_ct,https://www.instagram.com/atlasfitnessclub_ct/,Sant'Agata li Battiati,"Via dello Stadio, 11",palestra,verificato,Profilo Instagram attivo e localizzato a Sant'Agata li Battiati,https://www.atlasfitnessclub.it/ | https://www.instagram.com/atlasfitnessclub_ct/
141,ILovePilates,ilovepilatesct,https://www.instagram.com/ilovepilatesct/,Sant'Agata li Battiati,Sant'Agata li Battiati,pilates,verificato,Profilo Instagram attivo e localizzato a Sant'Agata li Battiati,https://www.instagram.com/ilovepilatesct/
142,Xtreme Fitness,xtremefitnessbattiati,https://www.instagram.com/xtremefitnessbattiati/,Sant'Agata li Battiati,Via John Fitzgerald Kennedy 13A,palestra,verificato,Profilo Instagram attivo e localizzato a Sant'Agata li Battiati,https://www.xtremefitnesscatania.it/ | https://www.instagram.com/xtremefitnessbattiati/
143,Infinity Gym,infinitygympool,https://www.instagram.com/infinitygympool/,Santa Maria di Licodia,"Via Aldo Moro, 25",palestra,verificato,"Profilo Instagram esistente e attivo, confermata la localizzazione a Santa Maria di Licodia e l'attività di palestra/piscina.",https://www.instagram.com/infinitygympool/ | https://fitnessfast.it/infinity-gym-via-aldo-moro-santa-maria-di-licodia/ | https://www.facebook.com/p/Total-Fitness-100063675695120/
144,Ostara Fitness&Studio,ostarafitness,https://www.instagram.com/ostarafitness/,Santa Venerina,Via Felicetto n.10 Linera,palestra,verificato,"Profilo Instagram e sito web ufficiali trovati, confermata la presenza a Santa Venerina.",https://www.instagram.com/ostarafitness/ | https://ostara.webflow.io/ | https://www.instagram.com/explore/locations/1009876603/ostara-fitnessstudio/
145,Thai Lions,thai_lions_fighters,https://www.instagram.com/thai_lions_fighters/,Santa Venerina,"Via Umberto, 16/M",palestra,verificato,"Profilo Instagram trovato, confermata la presenza a Santa Venerina (Accademia Sicilia Muay Thai).",https://www.instagram.com/thai_lions_fighters/ | https://www.zumba.com/it-IT/class_detail/e5c2f823-61a2-4d37-ab6a-5ac6c1197df6 | https://accademiathailions.it/
146,Body Extreme,body_extreme_scordia,https://www.instagram.com/body_extreme_scordia/,Scordia,Via Guido Rossa,palestra,da_controllare,"Esiste solo come location su Instagram, non come profilo ufficiale.",https://www.instagram.com/explore/locations/344399513135023/body-extreme-scordia/ | https://fitnessfast.it/body-extreme-via-guido-rossa-scordia/
147,Gymnica Sport Village,gymnica_sport_village,https://www.instagram.com/gymnica_sport_village/,Scordia,Contrada Scalazza SP29 per Palagonia,centro sportivo polifunzionale,verificato,Profilo Instagram ufficiale attivo e verificato.,https://www.instagram.com/gymnica_sport_village/ | https://www.facebook.com/GymnicaSportVillage/
148,Kross Garage Gym Scordia,krossgaragegymscordia,https://www.instagram.com/krossgaragegymscordia/,Scordia,Scordia,crossfit,verificato,Profilo Instagram ufficiale attivo e verificato.,https://www.instagram.com/krossgaragegymscordia/
149,Music Gym ASD,music_gym_asd_scordia,https://www.instagram.com/music_gym_asd_scordia/,Scordia,Scordia,palestra,da_controllare,"Esiste solo come location su Instagram, non come profilo ufficiale.",https://www.instagram.com/explore/locations/145842919194771/music-gym-asd-scordia/
150,CARPE DIEM Fitness 360 gradi,carpediemfitness360gradi,https://www.instagram.com/carpediemfitness360gradi/,Trecastagni,"Via San Benedetto, 18",palestra,verificato,"Profilo ufficiale attivo, indirizzo confermato a Trecastagni.",https://www.instagram.com/carpediemfitness360gradi/ | https://totalfitnessconceptitaly.it/carpe-diem-fitness-360-gradi-trecastagni/
151,Tribe Functional Training Box,tribefunctionaltrainingbox,https://www.instagram.com/tribefunctionaltrainingbox/,Trecastagni,Via Giuseppe Verdi,functional training,verificato,"Profilo Instagram esistente, indirizzo confermato a Trecastagni.",https://www.instagram.com/tribefunctionaltrainingbox/ | https://www.facebook.com/p/Tribe-Functional-Training-Box-100046824776037/
152,Centro Sportivo Muri Antichi,muri_antichi,https://www.instagram.com/muri_antichi/,Tremestieri Etneo,"Via del Canalicchio, 21",centro sportivo,verificato,"Profilo ufficiale confermato, indirizzo a Tremestieri Etneo.",https://www.instagram.com/muri_antichi/ | https://www.muriantichi.it/palestra
153,Palestre Workout,palestre_workout,https://www.instagram.com/palestre_workout/,Tremestieri Etneo,Via Luigi Capuana 45,palestra,verificato,"Profilo ufficiale confermato, indirizzo a Tremestieri Etneo.",https://www.instagram.com/palestre_workout/ | https://www.palestreworkout.it/struttura-tremestieri.php
154,A.S.D. Jamming Palestre,jammingpalestre,https://www.instagram.com/jammingpalestre/,Valverde,Valverde,palestra/ginnastica ritmica,verificato,"Sede principale a San Giovanni la Punta, ma offre corsi anche a Valverde. Profilo attivo.",https://www.instagram.com/jammingpalestre/ | https://www.asjammingpalestre.it/ | https://www.instagram.com/p/DPdTmGqDKHG/
155,Cross Fight Russo,cross_fight_russo,https://www.instagram.com/cross_fight_russo/,Valverde,"Via Dante Alighieri, 23",cross training/arti marziali,verificato,"Profilo attivo, indirizzo confermato a Valverde in Via Dante Alighieri 23.",https://www.instagram.com/cross_fight_russo/ | https://www.facebook.com/crossfight.russo/ | https://www.facebook.com/p/Cross_Fight_Russo-100066944837971/
156,Vitality Fit Lab (ex Antaeus Palestre),vitalityfitlab_giacomo,https://www.instagram.com/vitalityfitlab_giacomo/,Valverde,"Via Etnea, 52",palestra,verificato,"Profilo attivo, indirizzo confermato a Valverde in Via Etnea 52.",https://www.instagram.com/vitalityfitlab_giacomo/ | https://www.facebook.com/vitalityfitlab/ | https://valverde.guidasicilia.it/azienda/catania/valverde/palestre-e-fitness/antaeus-palestre/50819
157,Energy Fitness A.S.D.,energyfitnessviagrande,https://www.instagram.com/energyfitnessviagrande/,Viagrande,"Via Antonello da Messina, 7a",palestra,verificato,"Profilo Instagram ufficiale attivo, indirizzo confermato a Viagrande (CT).",https://www.instagram.com/energyfitnessviagrande/ | https://www.facebook.com/energyfitnessviagrande/ | https://wellhub.com/it-it/search/sicilia/viagrande/
158,Master Fitness,masterfitness.viagrande,https://www.instagram.com/masterfitness.viagrande/,Viagrande,"Via Vittorio Emanuele, 205",palestra,verificato,"Profilo Instagram ufficiale attivo, indirizzo confermato a Viagrande (CT).",https://www.instagram.com/masterfitness.viagrande/ | https://palestramasterfitnessviagrande.it/
159,EVI FITNESS,evifitness2023,https://www.instagram.com/evifitness2023/,Vizzini,Vizzini,palestra,verificato,Profilo Instagram ufficiale trovato con indicazione Vizzini e attività fitness.,https://www.instagram.com/evifitness2023/ | https://www.facebook.com/100054276890182/videos/la-evi-fitness-vizzini/24283134661293193/ | https://www.localshop24.com/it/vizzini-ct-it/attivita/palestra-corsi-fitness/evifitness/
160,4 For You Fitness Club,4_foryoufitnessclub,https://www.instagram.com/4_foryoufitnessclub/,Zafferana Etnea,Via Archimede 3,centro fitness,verificato,"Profilo Instagram attivo, indirizzo e comune confermati dalle fonti pubbliche.",https://www.instagram.com/4_foryoufitnessclub/ | https://www.facebook.com/4foryouzafferanaetnea/
161,Body Power Gym,bodypowergym2019,https://www.instagram.com/bodypowergym2019/,Zafferana Etnea,Via Vittorio Emanuele 33,palestra,verificato,"Profilo Instagram attivo, indirizzo e comune confermati dalle fonti pubbliche.",https://www.instagram.com/bodypowergym2019/ | https://www.fresha.com/lvp/body-power-gym-via-vittorio-emanuele-zafferana-etnea-2GN29B | https://www.facebook.com/Palestra2021/
162,Evolution fitness1588,evolutionfitness1588,https://www.instagram.com/evolutionfitness1588/,Zafferana Etnea,Via Garibaldi 238,palestra,verificato,"Profilo Instagram attivo, indirizzo e comune confermati dalle fonti pubbliche.",https://www.instagram.com/evolutionfitness1588/ | https://www.instagram.com/grazya05_personal_trainer/
